폴더	파일	무엇인가	낱말수	첫낱말	썼나
17기	(수정본)베트남 단어시험 87회차_답안.pdf	시험지·한글뜻	31	bổ nhiệm	일일 87
17기	TalkFile_(공란)베트남 단어시험 19차.xlsx.xlsx	시험지·한글뜻	30	thương gia hẹp	일일 0
17기	TalkFile_(답안)베트남 단어시험 19차.xlsx.xlsx	시험지·한글뜻	58	bắt dầu	일일 19
17기	TalkFile_베트남단어시험_20회차 공란.xlsx.xlsx	낱말이 적음	0		안 씀
17기	베트남 단어시험 104차.pdf	시험지·한글뜻	30	phù hợp cầu	일일 104
17기	베트남 단어시험 107회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 107회차.pdf	시험지·한글뜻	30	đảm bảo	일일 107
17기	베트남 단어시험 16차(공란).xlsx	시험지·한글뜻	30	thương gia hẹp	일일 0
17기	베트남 단어시험 17차(공란).pdf	낱말이 적음	1		안 씀
17기	베트남 단어시험 17차(답안).pdf	시험지·한글뜻	31	may	일일 17
17기	베트남 단어시험 24차.pdf	시험지·영어뜻	30	đen	일일 24
17기	베트남 단어시험 27차.pdf.pdf	시험지·한글뜻	30	ngày	일일 27
17기	베트남 단어시험 34회차 [ 답안].pdf	시험지·한글뜻	30	dạo này	일일 34
17기	베트남 단어시험 34회차 [공란].pdf	낱말이 적음	1		안 씀
17기	베트남 단어시험 38회차 공란본.pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 38회차 답안.pdf	시험지·낱말만	29	quán	일일 38
17기	베트남 단어시험 46회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 47회차 （공란）.pdf	낱말이 적음	1		안 씀
17기	베트남 단어시험 47회차.pdf	시험지·한글뜻	30	chán nản	일일 47
17기	베트남 단어시험 48차 (1) (1).pdf	시험지·한글뜻	31	mỹ thuật	일일 48
17기	베트남 단어시험 48차 (공란) (1).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 49회차 공란.pdf	낱말이 적음	1		안 씀
17기	베트남 단어시험 51회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 51회차.pdf	시험지·한글뜻	31	một số	일일 51
17기	베트남 단어시험 53차.pdf	시험지·한글뜻	30	lớp trẻ	일일 53
17기	베트남 단어시험 54차.pdf	시험지·한글뜻	30	nhiệt độ	일일 54
17기	베트남 단어시험 55차.pdf	시험지·영어뜻	29	hệ thống tế	일일 55
17기	베트남 단어시험 56차.pdf	시험지·한글뜻	30	động viên	일일 56
17기	베트남 단어시험 58차.pdf	시험지·한글뜻	30	nạn	일일 58
17기	베트남 단어시험 59차.pdf	시험지·한글뜻	31	vải	일일 59
17기	베트남 단어시험 60회차.pdf	시험지·한글뜻	30	Áo khoác	일일 60
17기	베트남 단어시험 65회차 공란.pdf	낱말이 적음	4		안 씀
17기	베트남 단어시험 65회차 답안.pdf	시험지·한글뜻	34	lên	일일 65
17기	베트남 단어시험 65회차 답안.xlsx	시험지·한글뜻	30	nhanh lên	일일 65
17기	베트남 단어시험 73회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 73회차.pdf	시험지·한글뜻	31	tập quán	일일 73
17기	베트남 단어시험 74회차(문제지).pdf	낱말이 적음	1		안 씀
17기	베트남 단어시험 74회차.pdf	시험지·한글뜻	31	sản phụ	일일 74
17기	베트남 단어시험 75회차 (공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 75회차.pdf	시험지·한글뜻	65	tác phẩm để đòi	일일 75
17기	베트남 단어시험 76회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 76회차.pdf	시험지·한글뜻	30	Nôn	일일 76
17기	베트남 단어시험 78차.pdf	시험지·한글뜻	30	ngưỡng mộ	일일 78
17기	베트남 단어시험 79차.pdf	시험지·한글뜻	64	chính trị	일일 79
17기	베트남 단어시험 82차(공란).xlsx	낱말이 적음	0		안 씀
17기	베트남 단어시험 82차.xlsx	시험지·한글뜻	30	nhà tuyển dụng	일일 82
17기	베트남 단어시험 83차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 83차.pdf	시험지·한글뜻	30	phim	일일 83
17기	베트남 단어시험 84회차.pdf	시험지·낱말만	30	Phó giám đốc	일일 84
17기	베트남 단어시험 85회차_공란.pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 87회차_공란.pdf	낱말이 적음	1		안 씀
17기	베트남 단어시험 91차＿공란.PDF	낱말이 적음	0		안 씀
17기	베트남 단어시험 91차＿답안.PDF	시험지·낱말만	30	quầy hướng dẫn	일일 91
17기	베트남 단어시험 96차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 96차(답안).pdf	시험지·낱말만	31	thư	일일 96
17기	베트남 단어시험 97회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험 97회차.pdf	시험지·한글뜻	30	bạn thên	일일 97
17기	베트남 단어시험-36회차 _공란.pdf	낱말이 적음	2		안 씀
17기	베트남 단어시험-36회차 _답안.pdf	시험지·한글뜻	31	họ và tên	일일 36
17기	베트남 단어시험-36회차 _답안.xlsx	시험지·한글뜻	30	họ và tên	일일 36
17기	베트남 단어시험_111회차 _공란.pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험_111회차 _답안.pdf	시험지·한글뜻	33	phân biệt	일일 111
17기	베트남 단어시험_111회차 _답안.xlsx	시험지·한글뜻	20	phân biệt	일일 111
17기	베트남 단어시험_28회차.pdf	시험지·한글뜻	29	hoạt động	일일 28
17기	베트남 단어시험_41회차_공란.pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험_90회차 _공란.pdf	낱말이 적음	4		안 씀
17기	베트남 단어시험_90회차 _답안.pdf	시험지·한글뜻	34	dạy này	일일 90
17기	베트남 단어시험_90회차 _답안.xlsx	시험지·한글뜻	20	dạy này	일일 90
17기	베트남 단어시험_92회차 _공란.pdf	낱말이 적음	0		안 씀
17기	베트남 단어시험_92회차 _답안.pdf	시험지·한글뜻	30	hóa đơn đỏ	일일 92
17기	베트남 단어시험_98회차 (공란).pdf	시험지·한글뜻	56	Kiểm tiếng Việt hà	일일 0
17기	베트남 단어시험_98회차 (답안).pdf	시험지·한글뜻	32	vực	일일 98
17기	베트남 단어시험－35회차－ 공란＿v2.PDF	낱말이 적음	2		안 씀
17기	베트남 단어시험－35회차－ 답안＿v2.PDF	시험지·한글뜻	31	sân	일일 35
17기	베트남 단어시험＿110회차.PDF	시험지·한글뜻	29	xử lí	일일 110
17기	베트남 단어시험＿110회차＿공란.PDF	낱말이 적음	0		안 씀
17기	베트남단어시험_109회차.xlsx	시험지·한글뜻	30	vay tiền	일일 109
17기	베트남단어시험_109회차_공란.pdf	낱말이 적음	0		안 씀
17기	베트남단어시험_20회차.xlsx	시험지·한글뜻	20	đi	일일 20
17기	베트남단어시험_21회차(공란).pdf	베트남어 아님	6		일일 0
17기	베트남단어시험_21회차.pdf	시험지·낱말만	35	sang	일일 21
17기	베트남단어시험_40회차 - 공란.pdf	낱말이 적음	2		안 씀
17기	베트남단어시험_40회차.pdf	시험지·한글뜻	33	hết	일일 40
17기	베트남단어시험_69회차 - 공란.pdf	낱말이 적음	0		안 씀
17기	베트남단어시험_69회차.pdf	시험지·한글뜻	30	thành phố	일일 69
17기	베트남단어시험_89회차.xlsx	시험지·한글뜻	30	treo	일일 89
17기	베트남단어시험_89회차_공란.xlsx	낱말이 적음	0		안 씀
17기	베트남단어시험_93회차 - 공란.pdf	낱말이 적음	1		안 씀
17기	베트남단어시험_93회차.pdf	시험지·한글뜻	30	máy	일일 93
17기	베트남단어시험＿22회차.pdf	시험지·한글뜻	30	tham	일일 22
17기	베트남단어시험＿22회차（공란）.pdf	낱말이 적음	0		안 씀
17기	베트남반 단어시험 13회차.pdf	시험지·낱말만	30	uống	일일 13
17기	베트남반 단어시험 14회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남반 단어시험 14회차.pdf	시험지·한글뜻	30	câu cá	일일 14
17기	베트남반 단어시험 15회차(공란).pdf	낱말이 적음	2		안 씀
17기	베트남반 단어시험 15회차.pdf	시험지·낱말만	30	ăn tối	일일 15
17기	베트남반 단어시험 18차（공란）.pdf	낱말이 적음	2		안 씀
17기	베트남반 단어시험 18차（답안）.pdf	시험지·한글뜻	27	ngoại ngữ	일일 18
17기	베트남반 단어시험 29회차 (수정).pdf	시험지·한글뜻	30	giờ nào lúc nào	일일 29
17기	베트남반 단어시험 30회차.pdf	시험지·한글뜻	29	nhập	일일 30
17기	베트남반 단어시험 43회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남반 단어시험 43회차(수정).pdf	시험지·한글뜻	30	hồ	일일 43
17기	베트남반 단어시험 44회차.pdf	시험지·낱말만	28	Phòng ngủ	일일 44
17기	베트남반 단어시험 45회차(공란).pdf	베트남어 아님	6		일일 0
17기	베트남반 단어시험 45회차.pdf	시험지·한글뜻	31	tự ĐT	일일 45
17기	베트남시험 72회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남시험 72회차.pdf	시험지·낱말만	32	nếu không thì	일일 72
17기	베트남어 12일차_단어시험 공란.xlsx.xlsx	모음집(회차 없음)·한글뜻	30	thương gia hẹp	일일 0
17기	베트남어 1회차 단어시험.pdf	시험지·한글뜻	33	Anh	일일 1
17기	베트남어 2회차 단어시험.pdf	시험지·한글뜻	30	Vẫn	일일 2
17기	베트남어 32회차 단어시험(공란).pdf	낱말이 적음	0		안 씀
17기	베트남어 32회차 단어시험.pdf	시험지·한글뜻	30	chuyển nhà	일일 32
17기	베트남어 33회차 단어시험(공란).pdf	낱말이 적음	3		안 씀
17기	베트남어 33회차 단어시험-수정.pdf	시험지·한글뜻	31	mũ	일일 33
17기	베트남어 3회차 단어시험.pdf	시험지·한글뜻	33	sữa	일일 3
17기	베트남어 4회차 단어시험.pdf	시험지·한글뜻	30	Bình	일일 4
17기	베트남어 5회차 단어시험.pdf	시험지·한글뜻	30	kỹ sư	일일 5
17기	베트남어 61회차 단어시험.pdf	시험지·한글뜻	30	không khí	일일 61
17기	베트남어 62회차 단어시험 (공란)-수정본.pdf	낱말이 적음	2		안 씀
17기	베트남어 62회차 단어시험_수정본.pdf	시험지·한글뜻	36	Đội	일일 62
17기	베트남어 63회차 단어시험 - 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 64회차 단어시험-공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 64회차 단어시험.pdf	시험지·한글뜻	31	thông	일일 64
17기	베트남어 66회차 단어시험.PDF	시험지·한글뜻	32	chợ	일일 66
17기	베트남어 66회차 단어시험＿공란.PDF	낱말이 적음	1		안 씀
17기	베트남어 67회차 단어시험 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 67회차 단어시험.pdf	시험지·낱말만	30	thủ đô	일일 67
17기	베트남어 6회차 단어시험.pdf	시험지·한글뜻	37	Hàn ố	일일 6
17기	베트남어 86회차 단어시험.pdf	시험지·한글뜻	38	lương thực	일일 86
17기	베트남어 86회차 단어시험_문제.pdf	시험지·한글뜻	8	cô	일일 0
17기	베트남어 단어시험 103회차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험 103회차.pdf	시험지·낱말만	30	doanh	일일 103
17기	베트남어 단어시험 25차 (공란).pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험 25차.pdf	시험지·한글뜻	30	đình	일일 25
17기	베트남어 단어시험 26차.pdf	시험지·한글뜻	29	xem	일일 26
17기	베트남어 단어시험 42회차-공란.pdf	낱말이 적음	1		안 씀
17기	베트남어 단어시험 42회차.pdf	시험지·낱말만	31	thành phần	일일 42
17기	베트남어 단어시험 50회차 - 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험 50회차.pdf	시험지·낱말만	30	mặt	일일 50
17기	베트남어 단어시험 71회차 (공란).pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험 71회차.pdf	시험지·낱말만	29	bí quyết	일일 71
17기	베트남어 단어시험 77회차 - 뜻 풀이 공란.pdf	빈 시험지·낱말만	30	Chính xác	일일 0
17기	베트남어 단어시험 77회차 - 베트남어 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험 77회차.pdf	시험지·낱말만	30	Chính xác	일일 77
17기	베트남어 단어시험 81회차 시험지.pdf	시험지·영어뜻	6	Cô ấy làm nhân viê	일일 81
17기	베트남어 단어시험 81회차.pdf	시험지·한글뜻	36	đợi	일일 81
17기	베트남어 단어시험 95회차 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험 95회차.pdf	시험지·영어뜻	30	Không quá lời nói~	일일 95
17기	베트남어 단어시험 99회차 _ 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험 99회차.pdf	시험지·한글뜻	30	vốn	일일 99
17기	베트남어 단어시험_10차(학습용).pdf	낱말이 적음	3		안 씀
17기	베트남어 단어시험_10차.pdf	시험지·한글뜻	33	Gần	일일 10
17기	베트남어 단어시험_11차.pdf	시험지·낱말만	36	Mươi lăm	일일 11
17기	베트남어 단어시험_11차_공란.xlsx	시험지·한글뜻	30	thương gia hẹp	일일 0
17기	베트남어 단어시험_12차(수정).pdf.pdf	시험지·낱말만	29	Bằng	일일 12
17기	베트남어 단어시험_39차(답안지).pdf	낱말이 적음	1		안 씀
17기	베트남어 단어시험_39차.pdf	시험지·한글뜻	30	nghèo nàn	일일 39
17기	베트남어 단어시험_68차(공란).pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험_68차.pdf	시험지·한글뜻	30	hồi đó	일일 68
17기	베트남어 단어시험_7차 (자습용).xlsx	시험지·한글뜻	32	TV	일일 7
17기	베트남어 단어시험_7차 (출력용).pdf	시험지·한글뜻	30	cái nhà	일일 7
17기	베트남어 단어시험_7차.xlsx	시험지·한글뜻	60	cái nhà	일일 7
17기	베트남어 단어시험_80차.pdf	시험지·한글뜻	31	thể loại	일일 80
17기	베트남어 단어시험_80차_공란.pdf	낱말이 적음	2		안 씀
17기	베트남어 단어시험_8차 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험_8차.pdf	시험지·한글뜻	30	nước	일일 8
17기	베트남어 단어시험_94회차.pdf	시험지·한글뜻	30	hơi	일일 94
17기	베트남어 단어시험_94회차_공란.pdf	낱말이 적음	0		안 씀
17기	베트남어 단어시험_9차 공란.xlsx	시험지·한글뜻	30	thương gia hẹp	일일 0
17기	베트남어 단어시험_9차.pdf	시험지·낱말만	30	già	일일 9
17기	베트남어 단어시험＿37회차＿공란.PDF	낱말이 적음	0		안 씀
17기	베트남어 단어시험＿37회차＿답안.PDF	시험지·한글뜻	30	chuyến thắng	일일 37
17기	베트남어단어시험_70회차.pdf.pdf	시험지·한글뜻	33	Chyên	일일 70
17기	베트남어단어시험_70회차_공란.pdf.pdf	낱말이 적음	0		안 씀
17기	베트남어반 단어시험 31회차 공란.pdf	낱말이 적음	0		안 씀
17기	베트남어반 단어시험 31회차.pdf	시험지·한글뜻	30	dạo này	일일 31
17기	베트남어반 단어시험 44회차(공란).pdf	낱말이 적음	0		안 씀
17기	（공란）베트남 단어시험 23차.xlsx	시험지·한글뜻	31	kg	일일 0
17기	（공란）베트남 단어시험 58차.pdf	낱말이 적음	0		안 씀
17기	（답안）베트남 단어시험 52차..pdf	시험지·한글뜻	30	mặc dù	일일 52
17기	（답안）베트남＿단어시험＿23회차－1.pdf	시험지·한글뜻	29	ngọt	일일 23
18기	(공란) 베트남_15차 단어시험.pdf	낱말이 적음	2		안 씀
18기	(공란) 베트남_16차 단어시험.pdf	베트남어 아님	26		안 씀
18기	(공란) 베트남_26차 단어시험.pdf	낱말이 적음	0		안 씀
18기	(공란)52회차_18기단어시험_베트남_250326.pdf	낱말이 적음	0		안 씀
18기	(공란)53회차_18기단어시험_베트남_250327.pdf	낱말이 적음	1		안 씀
18기	(공란)61회차_18기단어시험_베트남.pdf	낱말이 적음	0		안 씀
18기	(공란)단어시험_18기_베트남_250310.pdf	낱말이 적음	0		안 씀
18기	(공란)베트남 단어시험 13회차.pdf	베트남어 아님	29		안 씀
18기	(공란)베트남 단어시험 23회차.pdf	낱말이 적음	4		안 씀
18기	(공란)베트남 단어시험 33회차.pdf	베트남어 아님	9		일일 0
18기	(공란)베트남 단어시험 3회차.pdf	베트남어 아님	28		안 씀
18기	(공란)베트남_43회차 단어시험_25.03.11.pdf	낱말이 적음	0		안 씀
18기	(공부)토요단어시험_250614.pdf	모음집(회차 없음)·한글뜻	22	biểu hiện bằng các	주간 614
18기	(단어)25회차 단어시험_25.02.06.pdf	시험지·낱말만	30	về hưu nghỉ hưu	일일 25
18기	(답안) 베트남 단어시험 89회차.pdf	시험지·낱말만	30	biểu hiện	일일 89
18기	(답안)18기_베트남 단어시험 103회차.pdf	시험지·한글뜻	30	phí mặt bằng	일일 103
18기	(답안)18기_베트남 단어시험 94회차.pdf	시험지·한글뜻	30	người có tâm hồn ă	일일 94
18기	(답안)18기_베트남 단어시험 98회차.pdf	시험지·한글뜻	30	phí cố định	일일 98
18기	(답안)45회 단어시험_03.13.pdf	시험지·낱말만	30	thiếu	일일 45
18기	(답안)71회 단어시험_05.06.pdf	시험지·한글뜻	30	Bí quyết	일일 71
18기	(답안)_단어시험 77회차_2025.05.15.pdf	시험지·한글뜻	30	hân hạnh	일일 77
18기	(답안)단어시험 82회차_2025.05.26.pdf	시험지·한글뜻	31	hoà hợp	일일 82
18기	(답안)베트남_35회차 단어시험_25.02.25.pdf	시험지·낱말만	31	nhờ	일일 35
18기	(답안)베트남_35회차 단어시험_25.02.25.xlsx	시험지·한글뜻	30	nhờ	일일 35
18기	(답안)베트남_43회차 단어시험_25.03.11.pdf	시험지·한글뜻	31	Chủ nhà	일일 43
18기	(답안)베트남_43회차 단어시험_25.03.11.xlsx	시험지·한글뜻	20	Chủ nhà	일일 43
18기	(문제) 베트남 단어시험 89회차.pdf	낱말이 적음	0		안 씀
18기	(문제)18기_베트남 단어시험 103회차.pdf	낱말이 적음	1		안 씀
18기	(문제)18기_베트남 단어시험 94회차.pdf	낱말이 적음	0		안 씀
18기	(문제)18기_베트남 단어시험 98회차.pdf	낱말이 적음	1		안 씀
18기	(문제)25회차 단어시험_25.02.06.pdf	낱말이 적음	0		안 씀
18기	(문제)45회 단어시험_03.13.pdf	낱말이 적음	0		안 씀
18기	(문제)71회 단어시험_05.06.pdf	낱말이 적음	0		안 씀
18기	(문제)_단어시험 77회차_2025.05.15.pdf	낱말이 적음	2		안 씀
18기	(문제)단어시험 82회차_2025.05.26.pdf	낱말이 적음	0		안 씀
18기	(문제)베트남_35회차 단어시험_25.02.25.pdf	낱말이 적음	2		안 씀
18기	(베트남반)03.08_복습 단어시험.pdf	모음집(회차 없음)·한글뜻	20	dịp làng Điểm tốt	주간 0
18기	(암기용)토요단어시험_0628.pdf	모음집(회차 없음)·한글뜻	20	bị mất trí xà phòn	주간 0
18기	0107_시험_답지.pdf	모음집(회차 없음)·한글뜻	27	đông Tiền mặt biết	일일 107
18기	0118_복습시험.xlsx	모음집(회차 없음)·낱말만	20	đông Tiền mặt biết	주간 118
18기	0118_복습시험_답지.xlsx	모음집(회차 없음)·한글뜻	20	đông Tiền mặt biết	주간 118
18기	0125_토요일 아침 복습 단어시험(답지).pdf	모음집(회차 없음)·한글뜻	21	bắt đầu kết thúc t	주간 125
18기	02.21_복습 단어시험_시험.pdf	모음집(회차 없음)·한글뜻	21	trên thực tế Khó c	주간 0
18기	0215_복습시험 (1).pdf	모음집(회차 없음)·한글뜻	29	lúc vào thôi năm n	주간 215
18기	0215_복습시험 (2).pdf	모음집(회차 없음)·한글뜻	29	lúc vào thôi năm n	주간 215
18기	0215_복습시험.pdf	모음집(회차 없음)·낱말만	29	lúc vào thôi năm n	주간 215
18기	03.01_복습 단어시험_시험.pdf	모음집(회차 없음)·한글뜻	20	cần đón bạn đơn tr	주간 0
18기	03.08_복습 단어시험.pdf	모음집(회차 없음)·한글뜻	20	dịp làng Điểm tốt	주간 0
18기	05.10_복습 단어시험.pdf	모음집(회차 없음)·한글뜻	20	lộn xộn Bí quyết t	주간 0
18기	05.10_복습 단어시험.xlsx	모음집(회차 없음)·한글뜻	20	lộn xộn Bí quyết v	주간 0
18기	05.17_복습 단어시험.pdf	모음집(회차 없음)·한글뜻	41	trường hợp Lãnh đạ	주간 0
18기	05.23 주간복습 단어시험 (공란).pdf	베트남어 아님	20		안 씀
18기	05.23 주간복습 단어시험.pdf	베트남어 아님	21		안 씀
18기	06.21_복습 단어시험.xlsx	모음집(회차 없음)·한글뜻	20	quá trình người có	주간 0
18기	18기 단어시험 101회차 문제.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 101회차.pdf	시험지·한글뜻	30	bắt	일일 101
18기	18기 단어시험 101회차.xlsx	시험지·한글뜻	60	bắt tay	일일 101
18기	18기 단어시험 18회차 공란.pdf	낱말이 적음	3		안 씀
18기	18기 단어시험 18회차 정답.pdf	시험지·낱말만	31	kết thúc	일일 18
18기	18기 단어시험 18회차 정답.xlsx	시험지·한글뜻	20	kết thúc	일일 18
18기	18기 단어시험 28회차 정답.pdf	시험지·한글뜻	31	kịp	일일 28
18기	18기 단어시험 28회차.pdf	스캔 그림(글자층 없음)	0		안 씀
18기	18기 단어시험 28회차.xlsx	시험지·한글뜻	20	kịp	일일 28
18기	18기 단어시험 38회차 답안.pdf	시험지·한글뜻	30	dịp	일일 38
18기	18기 단어시험 38회차.pdf	낱말이 적음	1		안 씀
18기	18기 단어시험 38회차.xlsx	시험지·한글뜻	20	dịp	일일 38
18기	18기 단어시험 48회차 답안.pdf	시험지·한글뜻	30	lịch học	일일 48
18기	18기 단어시험 48회차.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 48회차.xlsx	시험지·한글뜻	20	lịch học	일일 48
18기	18기 단어시험 58회차 답안.pdf	시험지·한글뜻	30	mổ	일일 58
18기	18기 단어시험 58회차.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 58회차.xlsx	시험지·한글뜻	20	mổ	일일 58
18기	18기 단어시험 67회차 답안.pdf	시험지·한글뜻	30	bán xỉ	일일 67
18기	18기 단어시험 67회차.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 67회차.xlsx	시험지·한글뜻	30	bán xỉ	일일 67
18기	18기 단어시험 75회차 답안.pdf	시험지·한글뜻	30	Lãnh đạo	일일 75
18기	18기 단어시험 75회차.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 75회차.xlsx	시험지·한글뜻	30	Lãnh đạo	일일 75
18기	18기 단어시험 76회차 문제.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 76회차 정답.pdf	시험지·한글뜻	30	Tựgiới thiệu	일일 76
18기	18기 단어시험 80회차 câu hỏi.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 80회차 đáp án.pdf	시험지·한글뜻	30	hữu ích	일일 80
18기	18기 단어시험 80회차.xlsx	시험지·한글뜻	30	hữu ích	일일 80
18기	18기 단어시험 86회차 답안.pdf	시험지·한글뜻	30	thánh	일일 86
18기	18기 단어시험 86회차 문제.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 88회차 답지.pdf	시험지·한글뜻	31	dám	일일 88
18기	18기 단어시험 88회차 시험지.pdf	낱말이 적음	1		안 씀
18기	18기 단어시험 88회차.xlsx	시험지·한글뜻	60	dám	일일 88
18기	18기 단어시험 91회차.xlsx	시험지·한글뜻	60	trả chậm	일일 91
18기	18기 단어시험 93회차 답안.pdf	시험지·영어뜻	30	quá trình	일일 93
18기	18기 단어시험 93회차 문제.pdf	낱말이 적음	0		안 씀
18기	18기 단어시험 96회차 답안.pdf	시험지·한글뜻	32	bị mất trí	일일 96
18기	18기 단어시험 96회차 시험지.pdf	낱말이 적음	2		안 씀
18기	18기 단어시험 96회차.xlsx	시험지·한글뜻	60	bị mất trí	일일 96
18기	18기 베트남반 단어시험 24회차(공란).pdf	낱말이 적음	0		안 씀
18기	18기 베트남반 단어시험 24회차.pdf	시험지·영어뜻	30	Bà nội	일일 24
18기	18기_베트남 단어시험 100회차.pdf	시험지·한글뜻	31	tẩy	일일 100
18기	18기_베트남 단어시험 100회차.xlsx	시험지·한글뜻	20	tẩy chay	일일 100
18기	18기_베트남 단어시험 100회차_공란.pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 102회차(답안).pdf	낱말이 적음	0		안 씀
18기	18기_베트남 단어시험 102회차(문제).pdf	시험지·한글뜻	30	thu	일일 0
18기	18기_베트남 단어시험 102회차.xlsx	시험지·한글뜻	100	10 ngàn cây (số)	일일 102
18기	18기_베트남 단어시험 103회차.xlsx	시험지·한글뜻	30	chi phí mặt bằng	일일 103
18기	18기_베트남 단어시험 17회차 공란.pdf	낱말이 적음	1		안 씀
18기	18기_베트남 단어시험 17회차(수정).xlsx	시험지·한글뜻	17	tồi lắm	일일 17
18기	18기_베트남 단어시험 19회차 공란.pdf	베트남어 아님	20		안 씀
18기	18기_베트남 단어시험 19회차.pdf	시험지·한글뜻	31	bắt đầu	일일 19
18기	18기_베트남 단어시험 21회차(공란)_2025-01-23.pdf	베트남어 아님	18		안 씀
18기	18기_베트남 단어시험 21회차(정답)_2025-01-23.pdf	시험지·영어뜻	30	thấy	일일 21
18기	18기_베트남 단어시험 27회차 공란.pdf	낱말이 적음	2		안 씀
18기	18기_베트남 단어시험 27회차 정답.pdf	시험지·한글뜻	32	bị hỏng	일일 27
18기	18기_베트남 단어시험 27회차.xlsx	시험지·한글뜻	21	to miss an appoint	일일 27
18기	18기_베트남 단어시험 29회차.pdf	시험지·한글뜻	30	lúc vào	일일 29
